"Timestamp","RealValue","LearnedValue","Residual"
" 2024-01-05 09:07:09","4.135","",""
" 2024-01-05 09:07:16","4.162","",""
" 2024-01-05 09:07:24","4.153","",""
" 2024-01-05 09:07:32","4.172","",""
" 2024-01-05 09:07:47","4.162","",""
" 2024-01-05 09:07:55","4.154","",""
" 2024-01-05 09:08:03","4.15","",""
" 2024-01-05 09:08:10","4.162","",""
" 2024-01-05 09:08:19","4.153","",""
" 2024-01-05 09:08:27","4.156","",""
" 2024-01-05 09:08:35","4.158","",""
" 2024-01-05 09:08:42","4.157","",""
" 2024-01-05 09:08:50","4.164","",""
" 2024-01-05 09:08:58","4.161","",""
" 2024-01-05 09:09:05","4.154","",""
" 2024-01-05 09:09:13","4.162","",""
" 2024-01-05 09:09:21","4.157","",""
" 2024-01-05 09:09:28","4.165","",""
" 2024-01-05 09:09:35","4.156","",""
" 2024-01-05 09:09:43","4.161","",""
" 2024-01-05 09:09:58","4.153","",""
" 2024-01-05 09:10:06","4.158","",""
" 2024-01-05 09:10:14","4.154","",""
" 2024-01-05 09:10:21","4.146","",""
" 2024-01-05 09:10:29","4.157","",""
" 2024-01-05 09:10:37","4.158","",""
" 2024-01-05 09:10:45","4.161","",""
" 2024-01-05 09:10:52","4.168","",""
" 2024-01-05 09:11:00","4.162","",""
" 2024-01-05 09:11:08","4.165","",""
" 2024-01-05 09:11:15","4.165","",""
" 2024-01-05 09:11:23","4.157","",""
" 2024-01-05 09:11:31","4.165","",""
" 2024-01-05 09:11:39","4.168","",""
" 2024-01-05 09:11:46","4.161","",""
" 2024-01-05 09:11:54","4.153","",""
" 2024-01-05 09:12:02","4.15","",""
" 2024-01-05 09:12:09","4.15","",""
" 2024-01-05 09:12:17","4.151","",""
" 2024-01-05 09:12:25","4.169","",""
" 2024-01-05 09:12:33","4.157","",""
" 2024-01-05 09:12:40","4.156","",""
" 2024-01-05 09:12:48","4.156","",""
" 2024-01-05 09:12:57","4.164","",""
" 2024-01-05 09:13:04","4.153","",""
" 2024-01-05 09:13:12","4.16","",""
" 2024-01-05 09:13:20","4.157","",""
" 2024-01-05 09:13:28","4.161","",""
" 2024-01-05 09:13:35","4.168","",""
" 2024-01-05 09:13:43","4.16","",""
" 2024-01-05 09:13:51","4.149","",""
" 2024-01-05 09:13:58","4.15","",""
" 2024-01-05 09:14:06","4.154","",""
" 2024-01-05 09:14:14","4.164","",""
" 2024-01-05 09:14:22","4.154","",""
" 2024-01-05 09:14:29","4.165","",""
" 2024-01-05 09:14:37","4.162","",""
