"Timestamp","3370-01-AI081","3370-01-AI082","3370-01-AI083","3370-01-AI084","3370-01-AI085"
" 2024-08-08 12:57:01","44.485","45.625","44.611","43.851","45.499"
" 2024-08-08 13:03:49","43.724","44.611","43.724","43.978","45.372"
" 2024-08-08 13:03:56","43.598","44.485","43.598","43.851","45.499"
" 2024-08-08 13:58:43","43.724","43.724","43.724","43.978","44.485"
" 2024-08-08 14:00:00","42.964","43.598","42.964","43.091","44.611"
" 2024-08-08 14:57:44","42.838","43.724","42.838","42.964","43.598"
" 2024-08-08 15:05:42","42.964","42.838","42.964","43.091","43.471"
" 2024-08-08 15:05:50","42.204","42.711","42.204","42.331","43.598"
" 2024-08-08 15:54:25","42.078","42.204","42.078","42.204","42.838"
" 2024-08-08 16:02:00","41.951","42.078","41.951","42.078","42.711"
" 2024-08-08 16:02:16","58.582","41.951","58.2","59.091","42.838"
" 2024-08-08 16:58:43","58.709","58.073","58.328","59.219","42.078"
" 2024-08-08 17:07:58","64.952","58.2","65.462","65.717","41.951"
" 2024-08-08 17:29:41","65.08","64.442","65.59","65.845","41.824"
" 2024-08-08 17:59:11","64.952","64.57","66.993","67.121","56.801"
" 2024-08-08 17:59:50","66.355","65.845","67.121","67.248","56.928"
" 2024-08-08 18:58:19","66.483","65.972","66.993","67.121","63.422"
" 2024-08-08 19:01:33","66.355","65.845","67.631","68.014","63.55"
" 2024-08-08 19:01:48","66.993","66.993","67.759","68.142","63.422"
" 2024-08-08 19:59:31","67.121","66.865","67.631","68.014","64.952"
" 2024-08-08 20:17:38","66.993","67.376","68.142","68.525","65.08"
" 2024-08-08 20:18:01","67.503","67.248","68.142","68.652","64.952"
" 2024-08-08 20:49:00","67.376","67.376","68.269","62.785","65.462"
" 2024-08-08 21:01:34","67.503","62.275","62.403","62.658","65.59"
" 2024-08-08 21:01:42","67.631","62.148","62.53","59.983","65.462"
" 2024-08-08 21:47:13","62.403","59.728","62.403","59.855","65.972"
" 2024-08-08 21:49:24","62.275","59.601","59.855","57.819","65.972"
" 2024-08-08 22:07:42","62.403","57.691","59.728","57.691","66.1"
" 2024-08-08 22:28:16","59.728","57.564","57.819","56.038","66.228"
" 2024-08-08 22:59:22","59.601","57.691","57.691","55.91","61.893"
" 2024-08-08 23:02:04","57.819","55.783","56.038","56.038","61.766"
" 2024-08-08 23:02:12","57.691","55.656","55.91","54.385","61.893"
" 2024-08-08 23:57:59","55.91","54.131","56.038","54.258","59.601"
" 2024-08-09 00:01:27","55.783","54.003","54.258","52.987","59.473"
" 2024-08-09 00:59:33","54.258","54.131","54.385","52.86","57.564"
" 2024-08-09 01:03:17","54.131","52.606","54.258","52.987","57.437"
" 2024-08-09 01:59:35","52.86","52.479","52.86","51.589","55.783"
" 2024-08-09 02:03:41","52.733","52.606","52.733","51.462","55.656"
" 2024-08-09 02:03:48","51.462","51.335","52.86","51.589","55.783"
" 2024-08-09 02:55:42","51.335","51.208","51.462","50.32","54.258"
" 2024-08-09 03:01:06","51.462","51.335","51.335","50.193","54.131"
" 2024-08-09 03:01:37","50.193","50.066","51.462","49.177","54.258"
" 2024-08-09 03:58:28","50.066","49.939","50.193","49.05","52.733"
" 2024-08-09 04:02:19","50.193","50.066","50.066","48.035","52.606"
" 2024-08-09 04:02:58","49.05","48.923","49.05","47.908","52.733"
" 2024-08-09 04:59:41","48.923","48.796","48.923","47.02","51.335"
" 2024-08-09 04:59:49","49.05","47.781","49.05","46.893","51.462"
" 2024-08-09 05:00:04","48.035","47.655","47.908","47.02","51.335"
" 2024-08-09 05:00:20","47.908","47.781","47.781","46.133","51.462"
" 2024-08-09 05:53:58","48.035","46.767","47.908","46.006","50.193"
" 2024-08-09 06:01:10","47.02","46.64","47.02","46.133","50.066"
" 2024-08-09 06:59:26","46.893","45.879","46.893","45.245","48.923"
" 2024-08-09 07:07:09","47.02","45.752","47.02","45.118","48.796"
" 2024-08-09 07:07:17","46.006","45.879","46.006","45.245","48.923"
" 2024-08-09 07:54:44","45.879","44.992","45.879","44.231","47.908"
" 2024-08-09 08:03:21","46.006","44.865","45.118","44.358","47.781"
" 2024-08-09 08:03:29","45.118","44.992","44.992","44.231","47.908"
" 2024-08-09 08:57:46","44.992","43.978","45.118","43.218","46.893"
" 2024-08-09 09:05:13","45.118","43.851","44.231","52.733","46.767"
" 2024-08-09 09:54:29","44.231","43.724","44.104","52.86","46.006"
" 2024-08-09 10:02:35","44.358","54.131","56.928","52.733","45.879"
" 2024-08-09 10:54:49","44.231","54.258","57.055","54.512","45.118"
" 2024-08-09 11:03:56","60.874","54.131","58.709","54.639","44.992"
" 2024-08-09 11:04:04","61.001","56.165","58.837","54.512","45.118"
" 2024-08-09 11:55:01","62.275","56.292","59.346","55.02","44.231"
" 2024-08-09 12:01:04","62.403","56.165","59.473","55.02","44.358"
" 2024-08-09 12:58:17","62.275","56.801","59.601","55.148","63.295"
" 2024-08-09 13:00:28","62.785","56.928","56.801","52.987","63.422"
" 2024-08-09 13:52:57","62.912","57.055","56.674","54.385","64.952"
" 2024-08-09 14:00:09","57.564","55.148","55.02","54.258","65.08"
" 2024-08-09 14:00:55","57.437","55.02","54.893","54.639","64.952"
" 2024-08-09 14:54:57","55.656","53.622","54.512","54.258","65.59"
" 2024-08-09 15:13:26","55.529","53.495","65.59","54.131","65.717"
" 2024-08-09 15:59:11","55.02","53.241","65.717","53.876","58.073"
" 2024-08-09 16:01:46","65.717","64.697","67.759","66.1","57.946"
" 2024-08-09 16:56:42","65.845","64.825","67.886","66.228","55.529"
" 2024-08-09 17:00:10","67.503","64.697","67.759","68.142","55.402"
" 2024-08-09 17:14:19","67.631","66.738","68.908","68.269","54.893"
" 2024-08-09 17:59:22","67.503","66.865","68.525","68.142","64.06"
" 2024-08-09 18:00:54","68.397","66.738","68.652","69.291","64.187"
" 2024-08-09 18:56:36","68.269","67.886","68.78","68.652","65.972"
" 2024-08-09 19:04:58","68.397","67.248","68.652","68.525","66.1"
" 2024-08-09 19:05:06","68.269","67.121","68.78","68.269","65.972"
" 2024-08-09 19:41:07","68.652","66.738","68.652","68.397","66.865"
" 2024-08-09 19:59:24","68.652","66.865","68.908","68.525","66.738"
" 2024-08-09 20:12:15","68.78","66.738","68.908","68.397","66.865"
" 2024-08-09 20:41:36","68.652","66.993","69.035","68.525","66.993"
" 2024-08-09 20:44:33","68.908","66.993","68.908","68.652","66.993"
" 2024-08-09 21:14:23","68.908","66.865","69.035","68.525","67.121"
" 2024-08-09 21:17:06","69.035","66.993","68.908","68.652","66.993"
" 2024-08-09 21:45:55","68.908","66.865","69.163","68.525","67.248"
" 2024-08-09 21:57:14","69.163","66.993","63.295","68.652","67.248"
" 2024-08-09 22:11:08","69.163","68.014","63.167","68.525","67.376"
" 2024-08-09 22:11:31","69.291","62.785","61.129","68.652","67.248"
" 2024-08-09 22:45:45","69.163","62.658","61.001","69.418","67.503"
" 2024-08-09 23:00:02","69.546","60.747","59.219","63.295","67.376"
" 2024-08-09 23:00:10","69.418","60.619","59.091","63.167","67.503"
" 2024-08-09 23:00:33","69.546","60.747","57.437","61.001","67.376"
" 2024-08-09 23:25:22","63.422","58.837","57.31","60.874","67.631"
" 2024-08-09 23:33:44","63.295","58.709","57.437","59.091","67.631"
" 2024-08-10 00:05:39","61.129","57.055","55.783","58.964","67.503"
" 2024-08-10 00:05:54","61.001","56.928","55.656","57.31","67.631"
" 2024-08-10 00:59:49","59.219","55.275","55.783","57.182","62.912"
" 2024-08-10 01:03:56","59.091","55.148","54.258","55.656","62.785"
" 2024-08-10 01:57:04","59.219","53.876","54.131","55.529","61.001"
" 2024-08-10 02:01:34","57.437","53.749","52.86","55.656","60.874"
" 2024-08-10 02:02:05","57.31","52.479","52.733","54.131","61.001"
" 2024-08-10 02:58:03","57.437","52.352","51.589","54.003","59.091"
" 2024-08-10 03:02:02","55.91","52.479","51.462","54.131","58.964"
" 2024-08-10 03:02:10","55.783","51.208","51.589","52.733","59.091"
" 2024-08-10 03:59:40","54.385","51.081","50.32","52.606","57.31"
" 2024-08-10 04:03:23","54.258","51.208","50.193","52.733","57.182"
" 2024-08-10 04:55:30","54.385","49.939","49.304","51.462","55.783"
" 2024-08-10 05:00:16","52.987","50.066","49.177","51.335","55.656"
" 2024-08-10 05:56:05","52.86","49.939","49.304","51.462","54.258"
" 2024-08-10 06:02:23","52.987","48.923","48.289","50.32","54.131"
" 2024-08-10 06:57:50","51.716","48.796","48.162","50.193","52.86"
" 2024-08-10 07:03:14","51.589","48.923","48.289","50.32","52.733"
" 2024-08-10 07:57:54","50.574","47.908","47.274","49.177","51.589"
" 2024-08-10 08:03:41","50.447","47.781","47.147","49.05","51.462"
" 2024-08-10 08:03:56","49.431","47.908","47.274","49.177","51.589"
" 2024-08-10 08:55:32","49.304","46.893","46.386","48.162","50.447"
" 2024-08-10 09:03:01","49.431","47.02","46.259","48.035","50.32"
" 2024-08-10 09:58:33","48.416","46.006","46.386","48.162","49.304"
" 2024-08-10 10:04:21","48.289","46.133","45.625","47.274","49.177"
" 2024-08-10 10:04:51","48.416","46.006","45.499","47.147","49.304"
" 2024-08-10 10:58:30","47.528","46.133","45.625","47.274","48.289"
" 2024-08-10 11:06:46","47.401","45.245","44.738","46.386","48.162"
" 2024-08-10 11:07:01","47.528","45.118","44.611","46.259","48.289"
" 2024-08-10 11:55:24","46.64","45.245","44.738","46.386","47.401"
" 2024-08-10 12:01:42","46.513","44.485","44.104","45.499","47.274"
" 2024-08-10 12:53:49","46.64","44.358","43.978","45.372","46.513"
" 2024-08-10 13:02:03","45.752","44.485","44.104","45.499","46.386"
" 2024-08-10 13:57:53","45.625","43.724","43.344","44.738","45.625"
" 2024-08-10 14:06:45","45.752","43.598","43.218","44.611","45.499"
" 2024-08-10 14:54:53","44.992","43.724","42.838","43.978","44.865"
" 2024-08-10 15:04:09","44.865","43.091","50.447","43.851","44.738"
" 2024-08-10 15:04:32","44.231","42.964","50.574","43.978","44.865"
" 2024-08-10 15:55:29","44.104","43.091","65.335","43.218","44.104"
" 2024-08-10 16:05:16","44.231","42.458","65.462","43.091","43.978"
" 2024-08-10 16:05:24","43.471","50.447","67.759","43.218","44.104"
" 2024-08-10 16:58:55","43.344","50.574","67.886","42.711","43.344"
" 2024-08-10 17:08:34","42.838","64.442","68.78","51.335","43.218"
" 2024-08-10 17:41:47","51.081","64.57","68.908","51.462","42.838"
" 2024-08-10 17:59:55","51.208","64.442","68.78","65.972","49.939"
" 2024-08-10 18:00:10","64.952","66.865","69.163","66.1","50.066"
" 2024-08-10 18:59:07","65.08","66.993","69.035","68.269","63.422"
" 2024-08-10 19:00:47","67.121","67.759","64.315","68.397","63.55"
" 2024-08-10 19:00:55","67.248","67.886","64.187","69.291","63.422"
" 2024-08-10 19:58:51","68.142","68.142","61.766","69.418","65.717"
" 2024-08-10 20:03:30","68.269","68.142","61.638","69.291","65.845"
" 2024-08-10 20:03:37","68.142","68.269","59.601","69.674","65.717"
" 2024-08-10 20:59:29","68.652","63.805","59.473","69.674","66.738"
" 2024-08-10 21:12:37","68.525","63.677","57.691","69.801","66.865"
" 2024-08-10 21:12:45","68.652","61.383","57.819","64.187","66.738"
" 2024-08-10 21:42:44","64.06","61.256","57.691","64.315","67.121"
" 2024-08-10 21:52:47","63.932","61.383","56.038","64.187","67.121"
" 2024-08-10 22:07:42","61.511","59.346","55.91","61.638","67.248"
" 2024-08-10 22:59:03","61.383","59.219","56.038","61.511","63.55"
" 2024-08-10 23:02:41","59.473","57.437","54.512","59.601","63.422"
" 2024-08-10 23:56:52","59.346","57.31","54.385","59.473","61.383"
" 2024-08-11 00:00:20","59.473","57.437","54.512","57.691","61.256"
" 2024-08-11 00:59:12","57.691","55.656","53.114","57.564","59.346"
" 2024-08-11 01:03:39","57.564","55.529","52.987","56.038","59.219"
" 2024-08-11 01:03:47","56.038","55.656","51.716","55.91","59.346"
" 2024-08-11 01:58:30","55.91","54.131","51.589","54.385","57.564"
" 2024-08-11 02:02:29","54.512","54.003","51.716","54.258","57.437"
" 2024-08-11 02:58:12","54.385","52.733","50.574","54.385","55.91"
" 2024-08-11 03:02:58","54.512","52.606","50.447","52.987","55.783"
