Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION,3370-01-G-MODE,3370-01-P-MODE
2024-08-06 12:41:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:41:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:41:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:41:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:41:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:41:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:42:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:43:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:44:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:45:00,79.4,97.63,0.48,1.0,1.0
