Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION
 2024-08-06 15:16:55,91.95,72.31,0.58
 2024-08-06 15:47:54,75.36,99.12,0.46
 2024-08-06 16:00:00,75.24,83.86,0.49
 2024-08-06 16:00:07,94.41,83.19,0.52
 2024-08-06 16:05:47,68.48,99.14,5.61
 2024-08-06 16:13:00,79.67,74.53,0.03
 2024-08-06 16:59:57,77.95,93.7,0.05
 2024-08-06 17:00:12,67.84,83.77,0.04
 2024-08-06 17:00:43,94.3,72.89,0.03
 2024-08-06 17:14:37,77.63,97.75,8.75
 2024-08-06 17:59:54,425.014,89.56,0.52
 2024-08-06 18:00:02,1.07,85.39,0.43
 2024-08-06 18:00:33,1.94,352.385,0.34
 2024-08-06 18:03:16,1.9,0.92,1.65
 2024-08-06 18:59:59,1.26,1.34,0.87
 2024-08-06 19:00:07,464.935,1.15,0.95
 2024-08-06 19:05:16,182.1,1.08,1.6
 2024-08-06 19:44:38,207.86,497.834,0.33
 2024-08-06 19:59:57,227.11,202.68,0.63
 2024-08-06 20:00:12,74.72,189.7,0.65
 2024-08-06 20:27:06,81.19,233.67,0.77
 2024-08-06 20:47:33,86.6,70.47,0.34
 2024-08-06 21:00:02,71.95,87.99,0.62
 2024-08-06 21:00:17,203.71,85.13,0.56
 2024-08-06 21:21:40,168.9,108.81,0.69
 2024-08-06 21:50:22,169.02,71.02,0.33
 2024-08-06 22:00:02,195.64,199.64,0.41
 2024-08-06 22:00:09,128.72,177.79,0.49
 2024-08-06 22:15:22,177.29,215.54,0.35
 2024-08-06 22:16:47,159.49,139.73,0.7
 2024-08-06 23:00:02,193.68,169.29,0.44
 2024-08-06 23:00:10,125.72,184.99,0.41
 2024-08-06 23:15:06,173.17,123.63,0.03
 2024-08-07 00:00:02,138.46,209.67,0.05
 2024-08-07 00:00:17,115.29,165.98,0.04
 2024-08-07 00:05:03,192.53,148.75,0.03
 2024-08-07 00:08:08,137.61,197.68,0.07
 2024-08-07 00:59:31,150.07,105.83,0.04
 2024-08-07 01:00:33,283.79,145.09,0.05
 2024-08-07 01:30:01,1.07,136.13,0.03
 2024-08-07 01:34:48,1.94,318.07,0.08
 2024-08-07 02:00:09,1.54,0.98,0.05
 2024-08-07 02:00:33,1.01,1.44,0.04
 2024-08-07 02:02:28,3.54,1.56,0.03
 2024-08-07 02:21:08,1.25,1.66,0.07
 2024-08-07 02:59:58,1.66,0.87,0.05
 2024-08-07 03:00:06,1.04,1.32,0.04
 2024-08-07 03:02:41,6.7,1.46,0.03
 2024-08-07 03:03:50,1.14,0.95,0.35
 2024-08-07 03:59:57,1.44,1.71,0.07
 2024-08-07 04:00:05,1.07,1.29,0.08
 2024-08-07 04:06:00,2.55,1.41,0.05
 2024-08-07 04:48:59,1.96,2.45,0.11
 2024-08-07 04:59:48,1.64,1.02,0.08
 2024-08-07 05:00:11,28.76,1.45,0.09
 2024-08-07 05:21:56,1.52,1.37,0.05
 2024-08-07 05:28:22,2.75,1.13,0.11
 2024-08-07 05:59:54,2.96,13.33,0.07
 2024-08-07 06:00:02,2.36,2.16,0.06
 2024-08-07 06:40:36,4.25,2.44,0.34
 2024-08-07 06:46:31,3.7,2.03,0.03
 2024-08-07 06:59:46,3.57,3.33,0.04
 2024-08-07 07:00:01,4.43,2.86,0.06
 2024-08-07 07:00:40,2.42,2.92,0.03
 2024-08-07 07:38:46,2.67,3.35,0.07
 2024-08-07 07:59:52,2.97,2.17,0.03
 2024-08-07 08:00:00,9.76,3.16,0.04
 2024-08-07 08:00:08,1.08,2.42,0.03
 2024-08-07 08:48:24,1.43,4.02,0.38
 2024-08-07 08:59:59,1.64,1.1,0.06
 2024-08-07 09:00:07,1.04,1.42,0.07
 2024-08-07 09:07:12,2.49,1.57,0.05
 2024-08-07 09:30:06,1.74,1.86,0.1
 2024-08-07 09:59:59,2.26,1.01,0.08
 2024-08-07 10:00:07,1.1,1.41,0.05
 2024-08-07 10:11:37,22.64,1.14,0.09
 2024-08-07 10:59:57,2.99,1.03,0.07
 2024-08-07 11:00:04,2.97,9.78,0.05
 2024-08-07 11:01:46,2.57,2.74,0.09
 2024-08-07 11:59:57,4.73,2.87,0.05
 2024-08-07 12:00:04,3.41,3.31,0.08
 2024-08-07 12:00:12,3.37,2.1,0.05
 2024-08-07 12:23:38,2.26,2.69,0.09
 2024-08-07 12:59:57,5.25,2.89,0.08
 2024-08-07 13:00:05,3.3,1.77,0.05
 2024-08-07 13:29:58,2.98,3.28,0.08
 2024-08-07 13:59:57,2.49,2.35,0.06
 2024-08-07 14:00:13,4.38,2.6,0.07
 2024-08-07 14:02:09,3.76,1.96,0.08
 2024-08-07 14:04:20,4.11,3.16,0.05
 2024-08-07 14:59:57,4.33,2.21,0.07
 2024-08-07 15:00:05,2.7,2.45,0.06
 2024-08-07 15:02:16,2.98,2.02,0.08
 2024-08-07 15:06:09,2.92,3.18,0.05
 2024-08-07 15:59:50,3.97,2.84,0.07
 2024-08-07 16:00:21,2.51,2.53,0.06
 2024-08-07 16:09:22,2.59,2.05,0.33
 2024-08-07 16:17:05,3.35,3.43,0.03
 2024-08-07 16:59:57,2.46,2.21,0.04
 2024-08-07 17:00:43,4.87,2.51,0.05
 2024-08-07 17:09:44,2.85,3.21,11.39
 2024-08-07 17:49:41,2.83,2.03,0.03
 2024-08-07 17:59:40,2.35,3,0.04
 2024-08-07 18:00:19,4.2,2.8,0.03
 2024-08-07 18:21:40,3.88,3.43,0.07
 2024-08-07 18:59:54,3.45,1.98,0.04
 2024-08-07 19:00:02,11.3,2.45,0.05
 2024-08-07 19:03:07,1,2.46,0.03
 2024-08-07 19:17:31,1.34,9.88,0.07
 2024-08-07 19:59:52,1.14,0.99,0.06
 2024-08-07 20:00:00,1.03,1.15,0.04
 2024-08-07 20:00:54,423.841,1.25,0.03
 2024-08-07 20:23:24,1.34,0.99,7.64
 2024-08-07 20:59:55,1.48,411.684,0.47
 2024-08-07 21:00:02,3.83,1.28,0.4
 2024-08-07 21:14:19,1.06,1.3,0.34
 2024-08-07 21:28:05,1.16,0.97,0.76
 2024-08-07 21:59:51,1.52,1.68,0.41
 2024-08-07 21:59:59,0.97,1.25,0.43
 2024-08-07 22:31:18,2.5,1.37,0.34
 2024-08-07 22:54:13,1.78,1.66,0.88
 2024-08-07 22:59:52,1.58,1,0.42
 2024-08-07 23:00:08,1.06,1.46,0.46
 2024-08-07 23:05:54,441.664,1.24,0.31
 2024-08-07 23:38:51,165.85,0.92,0.92
