Timestamp,3370-01-AI024,3370-01-AI025,3370-01-AI026,3370-01-AI027,3370-01-AI028,3370-01-AI029,3370-01-AI079,3370-01-AI078-1,3370-01-DTGATE-AI002
 2024-08-17 19:57:30,-0.072,-0.125,-0.073,-0.124,-0.063,-0.064,33.604,66.483,19.437
 2024-08-17 20:07:32,-0.072,-0.124,-0.072,-0.123,-0.062,-0.064,33.73,66.355,19.589
 2024-08-17 20:27:37,-0.072,-0.125,-0.073,-0.124,-0.064,-0.065,33.604,66.483,20.276
 2024-08-17 20:37:39,-0.072,-0.119,-0.072,-0.124,-0.063,-0.064,33.478,66.61,19.437
 2024-08-17 20:57:42,-0.073,-0.081,-0.073,-0.123,-0.062,-0.065,33.604,66.483,19.818
 2024-08-17 21:07:44,-0.072,-0.082,-0.073,-0.124,-0.064,-0.064,33.478,66.61,20.352
 2024-08-17 21:17:47,-0.072,-0.081,-0.072,-0.123,-0.063,-0.065,33.351,59.091,20.428
 2024-08-17 21:37:52,-0.073,-0.082,-0.073,-0.124,-0.064,-0.064,33.478,58.964,19.437
 2024-08-17 21:57:55,-0.072,-0.082,-0.073,-0.123,-0.063,3.007,33.478,36.384,20.123
 2024-08-17 22:07:57,-0.073,-0.081,-0.072,-0.124,-0.063,2.894,33.351,36.257,20.2
 2024-08-17 22:48:04,-0.074,-0.082,-0.073,-0.123,-0.062,2.897,33.478,34.741,19.284
 2024-08-17 22:58:06,-0.073,-0.082,-0.073,-0.124,2.96,2.877,33.351,34.614,20.123
 2024-08-17 23:08:08,-0.073,-0.081,-0.072,-0.059,2.896,2.946,33.225,34.741,20.276
 2024-08-17 23:58:17,-0.074,2.994,-0.073,-0.06,2.878,2.918,33.351,34.488,19.589
 2024-08-18 00:08:19,-0.073,2.912,-0.073,-0.061,2.921,2.91,33.099,34.488,20.2
 2024-08-18 00:18:21,-0.074,2.924,-0.072,-0.06,2.854,2.934,33.099,34.362,20.276
 2024-08-18 00:38:34,-0.075,2.957,-0.073,-0.061,2.902,2.864,32.972,34.488,19.437
 2024-08-18 00:58:37,-0.124,2.881,-0.073,-0.06,2.904,2.891,33.099,34.362,19.971
 2024-08-18 01:08:38,-0.123,2.906,-0.072,-0.061,2.916,2.885,32.972,34.235,20.123
 2024-08-18 01:18:40,-0.079,2.915,-0.073,-0.062,2.853,2.921,33.099,34.362,19.437
 2024-08-18 01:58:49,-0.08,2.946,-0.073,-0.061,2.884,2.851,32.972,34.235,20.2
 2024-08-18 02:08:51,-0.081,2.887,-0.074,-0.061,2.902,2.9,32.846,34.109,19.437
 2024-08-18 02:18:53,2.994,2.912,-0.073,-0.062,2.919,2.905,32.972,34.235,20.2
 2024-08-18 02:38:57,2.931,2.904,-0.073,-0.061,2.849,2.937,32.846,34.109,19.36
 2024-08-18 02:59:00,2.934,2.949,0.023,-0.062,2.874,2.85,32.972,33.983,20.123
 2024-08-18 03:19:04,2.905,2.892,2.96,-0.061,2.889,2.897,32.215,34.109,19.589
 2024-08-18 03:29:06,2.957,2.915,2.915,-0.062,2.916,2.901,47.274,33.983,19.513
 2024-08-18 03:39:08,2.932,2.92,2.911,-0.062,2.844,2.923,47.401,33.856,20.276
 2024-08-18 03:59:13,2.928,2.892,2.942,-0.061,2.863,2.855,48.162,33.983,20.276
 2024-08-18 04:09:15,2.901,2.949,2.883,-0.062,2.882,2.883,48.289,33.856,20.123
 2024-08-18 04:29:18,2.957,2.919,2.916,-0.062,2.838,2.879,48.162,33.73,19.36
 2024-08-18 04:39:20,2.928,2.91,2.889,-0.062,2.918,2.905,48.543,33.856,20.276
 2024-08-18 04:59:24,2.917,2.937,2.941,-0.062,2.888,-0.072,48.67,33.73,20.276
 2024-08-18 05:09:26,2.962,2.886,2.87,-0.062,2.895,-0.073,48.543,33.604,20.047
 2024-08-18 05:29:30,2.902,2.894,2.902,-0.062,2.919,-0.072,48.67,33.73,20.2
 2024-08-18 05:59:36,2.914,2.896,2.89,-0.062,2.837,-0.075,48.796,33.604,19.36
 2024-08-18 06:09:37,2.905,2.944,2.937,-0.062,2.87,-0.075,48.67,33.73,20.276
 2024-08-18 06:39:43,2.892,-0.06,2.867,-0.061,2.897,-0.075,48.923,33.604,19.742
 2024-08-18 06:59:47,2.96,-0.061,2.908,2.961,2.907,-0.075,49.05,33.604,19.818
 2024-08-18 07:09:49,2.904,-0.06,2.903,2.896,-0.098,-0.075,48.923,33.478,19.36
 2024-08-18 07:29:53,2.917,-0.068,2.929,2.879,-0.099,-0.075,49.177,33.604,20.276
 2024-08-18 07:59:59,2.961,-0.069,2.873,2.92,-0.098,-0.126,49.177,33.478,19.36
 2024-08-18 08:10:00,2.896,-0.068,2.915,2.854,-0.124,-0.126,49.05,33.351,20.276
 2024-08-18 08:20:02,2.91,-0.069,2.883,2.902,-0.123,-0.126,49.177,33.478,19.513
 2024-08-18 08:50:16,2.935,-0.069,2.93,2.905,-0.124,-0.126,38.154,33.351,20.276
 2024-08-18 09:00:18,2.953,-0.07,2.876,2.917,-0.124,-0.126,38.028,33.225,19.894
 2024-08-18 09:10:28,-0.065,-0.069,2.904,2.853,-0.123,-0.126,34.741,33.351,19.437
 2024-08-18 09:50:36,-0.065,-0.07,2.91,2.885,-0.124,-0.126,34.614,33.225,19.894
 2024-08-18 10:00:38,-0.069,-0.069,2.922,2.901,-0.124,-0.126,34.109,33.099,19.666
 2024-08-18 10:10:40,-0.07,-0.07,-0.071,2.92,-0.123,-0.126,33.983,33.225,20.276
 2024-08-18 10:30:44,-0.069,-0.071,-0.07,2.849,-0.124,-0.126,34.109,33.099,19.208
 2024-08-18 10:50:48,-0.07,-0.07,-0.071,2.876,-0.124,-0.126,33.856,33.225,19.666
 2024-08-18 11:00:58,-0.071,-0.071,-0.07,2.888,-0.123,-0.126,33.856,33.099,20.2
 2024-08-18 11:21:18,-0.07,-0.07,-0.072,2.916,-0.124,-0.126,33.73,32.972,19.437
 2024-08-18 11:51:23,-0.07,-0.071,-0.072,2.844,-0.113,-0.126,33.856,33.099,19.589
 2024-08-18 12:01:25,-0.071,-0.072,-0.072,2.863,-0.058,-0.126,33.73,32.972,20.123
 2024-08-18 12:11:27,-0.07,-0.071,-0.072,2.882,-0.059,-0.062,33.856,63.805,19.284
 2024-08-18 12:51:35,-0.071,-0.071,-0.073,2.838,-0.059,-0.061,33.73,63.932,19.36
 2024-08-18 13:01:37,-0.072,-0.072,-0.073,2.919,-0.059,-0.062,33.604,65.207,19.513
 2024-08-18 13:31:43,-0.071,-0.071,-0.072,2.889,-0.059,-0.062,33.73,65.335,20.276
 2024-08-18 13:51:47,-0.072,-0.072,-0.073,2.896,-0.06,-0.062,33.604,65.207,19.971
 2024-08-18 14:01:48,-0.071,-0.071,-0.073,2.921,-0.059,-0.062,33.478,65.845,20.2
 2024-08-18 14:41:56,-0.071,-0.072,-0.072,2.838,-0.059,-0.063,33.604,65.717,19.284
 2024-08-18 14:51:58,-0.072,-0.072,-0.073,2.873,-0.06,-0.062,33.478,66.1,20.2
 2024-08-18 15:12:03,-0.071,-0.072,-0.074,2.899,-0.059,-0.063,33.351,66.1,19.666
 2024-08-18 15:52:10,-0.072,-0.072,-0.073,2.908,-0.06,-0.062,33.478,66.228,20.2
 2024-08-18 16:12:14,-0.071,-0.072,-0.073,-0.098,-0.059,-0.063,33.351,65.972,20.123
 2024-08-18 16:32:18,-0.072,-0.072,-0.074,-0.098,-0.06,-0.062,33.478,66.483,19.284
 2024-08-18 16:52:21,2.937,-0.072,-0.073,-0.098,-0.06,-0.063,33.351,66.355,19.284
 2024-08-18 17:02:23,0.041,-0.072,-0.074,-0.124,-0.061,-0.064,33.73,66.738,20.2
 2024-08-18 17:12:25,0.038,-0.072,-0.075,-0.123,-0.06,-0.063,67.121,66.738,19.284
 2024-08-18 17:52:34,-0.049,-0.072,-0.074,-0.124,-0.06,-0.063,67.248,66.483,19.36
 2024-08-18 18:02:36,-0.048,-0.072,-0.075,-0.124,-0.061,-0.064,67.121,40.558,19.818
 2024-08-18 18:12:38,-0.049,-0.072,-0.074,-0.123,-0.06,-0.063,67.759,40.432,20.123
 2024-08-18 18:52:45,-0.048,-0.072,-0.075,-0.124,-0.061,-0.064,67.759,34.867,19.36
 2024-08-18 19:02:47,-0.049,-0.072,-0.074,-0.123,-0.06,-0.063,67.886,34.741,20.2
 2024-08-18 19:52:57,-0.048,-0.072,-0.075,-0.124,-0.124,-0.064,67.759,34.235,19.36
 2024-08-18 20:02:59,-0.048,-0.072,-0.075,-0.123,-0.072,-0.064,68.014,34.109,20.2
