_time,_value
2024-09-28 02:51:00+09:00,54.079770102243565
2024-09-28 02:52:00+09:00,54.22242823122771
2024-09-28 02:53:00+09:00,54.388389330930735
2024-09-28 02:54:00+09:00,54.489665961010274
2024-09-28 02:55:00+09:00,54.58227030841056
2024-09-28 02:56:00+09:00,54.67821420266553
2024-09-28 02:57:00+09:00,54.78950913040367
2024-09-28 02:58:00+09:00,54.88016624910449
2024-09-28 02:59:00+09:00,55.01019640015357
2024-09-28 03:00:00+09:00,56.163610121239316
2024-09-28 03:01:00+09:00,55.4264176581315
2024-09-28 03:02:00+09:00,55.46262897587893
2024-09-28 03:03:00+09:00,55.538253769460766
2024-09-28 03:04:00+09:00,55.69130147392398
2024-09-28 03:05:00+09:00,55.86578127403648
2024-09-28 03:06:00+09:00,55.941702113484396
2024-09-28 03:07:00+09:00,55.983072703639216
2024-09-28 03:08:00+09:00,56.0759015319192
2024-09-28 03:09:00+09:00,56.22419686976785
2024-09-28 03:10:00+09:00,56.371966780270625
2024-09-28 03:11:00+09:00,56.49521912542963
2024-09-28 03:12:00+09:00,56.60796157311509
2024-09-28 03:13:00+09:00,57.65420160371079
2024-09-28 03:14:00+09:00,56.92594651646991
2024-09-28 03:15:00+09:00,56.77920343559643
2024-09-28 03:16:00+09:00,56.837979316066594
2024-09-28 03:17:00+09:00,56.8902809492037
2024-09-28 03:18:00+09:00,56.966114968019085
2024-09-28 03:19:00+09:00,57.07348785233094
2024-09-28 03:20:00+09:00,58.570405933672376
2024-09-28 03:21:00+09:00,57.7288753999991
2024-09-28 03:22:00+09:00,57.88690230020664
2024-09-28 03:23:00+09:00,58.020492548466564
2024-09-28 03:24:00+09:00,58.11765192839022
2024-09-28 03:25:00+09:00,58.186386097028645
2024-09-28 03:26:00+09:00,58.386700588716195
2024-09-28 03:27:00+09:00,58.43060081876536
2024-09-28 03:28:00+09:00,58.450092087019875
2024-09-28 03:29:00+09:00,58.609179581272436
2024-09-28 03:30:00+09:00,58.79986838055363
2024-09-28 03:31:00+09:00,58.79616345829769
2024-09-28 03:32:00+09:00,58.84806968539068
2024-09-28 03:33:00+09:00,59.549591833106646
2024-09-28 03:34:00+09:00,59.03073457593636
2024-09-28 03:35:00+09:00,58.96750249431379
2024-09-28 03:36:00+09:00,59.127900077244504
2024-09-28 03:37:00+09:00,59.17193172484039
2024-09-28 03:38:00+09:00,59.1796017507648
2024-09-28 03:39:00+09:00,59.27091438459178
2024-09-28 03:40:00+09:00,59.457873774083296
2024-09-28 03:41:00+09:00,59.57648398738768
2024-09-28 03:42:00+09:00,59.64274901516276
2024-09-28 03:43:00+09:00,59.74467277262664
2024-09-28 03:44:00+09:00,59.85025910153941
2024-09-28 03:45:00+09:00,59.99551177211819
2024-09-28 03:46:00+09:00,60.8064344848887
