iter	Passed	Remaining
665	949	476
666	950	474
667	951	473
668	953	471
669	954	470
670	956	468
671	957	467
672	958	465
673	959	464
674	961	462
675	962	461
676	963	459
677	965	458
678	966	456
679	968	455
680	969	454
681	970	452
682	971	451
683	973	449
684	974	448
685	976	446
686	977	445
687	978	443
688	979	442
689	981	441
690	982	439
691	984	438
692	985	436
693	987	435
694	988	433
695	989	432
696	990	430
697	991	429
698	993	427
699	995	426
700	996	425
701	997	423
702	998	422
703	1000	420
704	1001	419
705	1002	417
706	1003	415
707	1005	414
708	1006	413
709	1007	411
710	1009	410
711	1010	408
712	1012	407
713	1013	406
714	1014	404
715	1016	403
716	1017	401
717	1019	400
718	1020	398
719	1021	397
720	1023	395
721	1024	394
722	1026	393
723	1027	391
724	1028	390
725	1029	388
726	1031	387
727	1032	385
728	1034	384
729	1035	382
730	1036	381
731	1038	380
732	1039	378
733	1040	377
734	1041	375
735	1042	374
736	1044	372
737	1045	371
738	1046	369
739	1047	368
740	1049	366
741	1051	365
742	1052	363
743	1053	362
744	1054	360
745	1055	359
746	1057	358
747	1058	356
748	1059	354
749	1060	353
750	1061	351
751	1064	351
752	1065	349
753	1067	348
754	1068	346
755	1070	345
756	1071	344
757	1072	342
758	1074	341
759	1075	339
760	1077	338
761	1078	336
762	1079	335
763	1081	333
764	1082	332
765	1083	331
766	1085	329
767	1086	328
768	1087	326
769	1089	325
770	1090	323
771	1091	322
772	1092	320
773	1094	319
774	1096	318
775	1097	316
776	1098	315
777	1099	313
778	1101	312
779	1102	310
780	1103	309
781	1104	308
782	1106	306
783	1107	305
784	1109	303
785	1110	302
786	1111	300
787	1113	299
788	1114	298
789	1115	296
790	1116	295
791	1118	293
792	1119	292
793	1121	290
794	1122	289
795	1123	287
796	1124	286
797	1126	285
798	1127	283
799	1128	282
800	1129	280
801	1130	279
802	1132	277
803	1133	276
804	1134	274
805	1136	273
806	1137	271
807	1138	270
808	1140	269
809	1141	267
810	1142	266
811	1143	264
812	1145	263
813	1146	262
814	1148	260
815	1149	259
816	1150	257
817	1152	256
818	1153	254
819	1154	253
820	1155	251
821	1156	250
822	1158	249
823	1159	247
