Timestamp,3370-02-EBB08,3370-02-AI153,3370-02-AI156,3370-02-AI109,3370-02-AI110
 2024-09-22 04:00:51,8.804,7.637,8.552,53.537,53.636
 2024-09-22 04:59:39,8.703,7.67,8.854,53.575,53.621
 2024-09-22 05:00:25,8.721,7.662,8.79,53.621,53.613
 2024-09-22 05:19:19,8.717,7.592,8.772,53.484,53.629
 2024-09-22 05:23:34,8.749,9.444,8.749,53.545,53.598
 2024-09-22 05:59:58,8.579,7.729,9.023,53.522,53.606
 2024-09-22 06:00:13,8.68,7.746,8.964,53.598,53.613
 2024-09-22 06:01:46,8.676,7.758,8.987,53.506,53.606
 2024-09-22 06:16:25,7.508,7.655,8.918,53.56,53.629
 2024-09-22 06:59:30,11.028,7.67,9.133,53.568,53.621
 2024-09-22 07:00:24,8.964,7.679,9.097,53.522,53.613
 2024-09-22 07:00:39,8.955,7.513,9.088,53.583,53.606
 2024-09-22 07:09:55,8.799,7.708,9.083,53.545,53.621
 2024-09-22 07:59:49,8.813,7.635,9.252,53.537,53.613
 2024-09-22 08:00:12,8.804,7.611,9.239,53.568,53.621
 2024-09-22 08:34:47,8.827,7.649,9.243,53.529,55.681
 2024-09-22 08:36:12,8.73,7.521,7.719,53.56,50.966
 2024-09-22 08:59:52,8.749,7.521,10.873,53.552,52.301
 2024-09-22 09:00:00,8.763,7.622,9.467,53.56,52.332
 2024-09-22 09:00:15,8.767,7.336,9.472,53.537,52.278
 2024-09-22 09:57:05,8.662,8.347,9.454,53.545,52.538
 2024-09-22 09:59:55,8.68,7.815,9.467,53.552,52.476
 2024-09-22 10:00:03,8.671,7.725,9.472,53.56,52.423
 2024-09-22 10:55:52,9.806,7.519,9.467,53.545,52.698
 2024-09-22 10:59:52,8.474,8.276,9.467,53.56,52.629
 2024-09-22 10:59:59,8.685,7.981,9.472,53.552,52.621
 2024-09-22 11:02:41,8.68,7.967,9.467,53.545,52.583
 2024-09-22 11:45:01,10.136,7.584,9.467,53.56,52.843
 2024-09-22 11:59:56,8.254,8.555,9.477,53.552,52.805
 2024-09-22 12:00:03,8.666,8.419,7.293,53.56,52.782
 2024-09-22 12:08:33,8.689,8.175,9.829,55.574,52.744
 2024-09-22 12:57:09,8.561,8.553,9.431,50.897,53.011
 2024-09-22 12:59:51,8.863,7.676,9.422,52.232,52.942
 2024-09-22 12:59:59,8.799,8.204,9.435,52.263,52.972
 2024-09-22 13:00:30,8.781,8.223,9.335,52.194,52.904
